link,Name,Position,Shoots,Team,Born,Experience,Height_Weight
https://www.basketball-reference.com/players/w/willija06.html,Jalen Williams,Shooting Guard and Power Forward,Right,Oklahoma City Thunder,"April 14,
            2001
 (Age: 24-165d)

    in Denver, Colorado",3 years,"6-6,220lb (198cm, 99kg)"
https://www.basketball-reference.com/players/p/porzikr01.html,Kristaps Porziņģis,Center and Power Forward,Right,Atlanta Hawks,"August 2,
            1995
 (Age: 30-055d)

    in Liepaja, Latvia",9 years,"7-2,240lb (218cm, 108kg)"
https://www.basketball-reference.com/players/v/vanvlfr01.html,Fred VanVleet,Point Guard and Shooting Guard,Right,Houston Rockets,"February 25,
            1994
 (Age: 31-213d)

    in Rockford, Illinois",9 years,"6-0,197lb (183cm, 89kg)"
https://www.basketball-reference.com/players/e/embiijo01.html,Joel Embiid,Center,Right,Philadelphia 76ers,"March 16,
            1994
 (Age: 31-194d)

    in Yaounde, Cameroon",9 years,"7-0,280lb (213cm, 127kg)"
https://www.basketball-reference.com/players/d/drumman01.html,Andre Drummond,Center,Right,Philadelphia 76ers,"August 10,
            1993
 (Age: 32-047d)

    in Mount Vernon, New York",13 years,"6-11,279lb (211cm, 126kg)"
https://www.basketball-reference.com/players/y/youngtr01.html,Trae Young,Point Guard,Right,Atlanta Hawks,"September 19,
            1998
 (Age: 27-007d)

    in Lubbock, Texas",7 years,"6-1,164lb (185cm, 74kg)"
https://www.basketball-reference.com/players/b/banchpa01.html,Paolo Banchero,Power Forward,Right,Orlando Magic,"November 12,
            2002
 (Age: 22-318d)

    in Seattle, Washington",3 years,"6-10,250lb (208cm, 113kg)"
https://www.basketball-reference.com/players/g/grantje01.html,Jerami Grant,Power Forward and Small Forward,Right,Portland Trail Blazers,"March 12,
            1994
 (Age: 31-198d)

    in Portland, Oregon",11 years,"6-7,210lb (201cm, 95kg)"
https://www.basketball-reference.com/players/b/brunsja01.html,Jalen Brunson,Point Guard and Shooting Guard,Left,New York Knicks,"August 31,
            1996
 (Age: 29-026d)

    in New Brunswick, New Jersey",7 years,"6-2,190lb (188cm, 86kg)"
https://www.basketball-reference.com/players/j/jamesle01.html,LeBron James,"Small Forward, Power Forward, Point Guard, Center, and Shooting Guard",Right,Los Angeles Lakers,"December 30,
            1984
 (Age: 40-270d)

    in Akron, Ohio",22 years,"6-9,250lb (206cm, 113kg)"
https://www.basketball-reference.com/players/r/randlju01.html,Julius Randle,Power Forward and Center,Left,Minnesota Timberwolves,"November 29,
            1994
 (Age: 30-301d)

    in Dallas, Texas",11 years,"6-9,250lb (206cm, 113kg)"
https://www.basketball-reference.com/players/m/mathube01.html,Bennedict Mathurin,Small Forward and Shooting Guard,Right,Indiana Pacers,"June 19,
            2002
 (Age: 23-099d)

    in Montreal, Quebec",3 years,"6-6,210lb (198cm, 95kg)"
https://www.basketball-reference.com/players/p/powelno01.html,Norman Powell,Shooting Guard and Small Forward,Right,Miami Heat,"May 25,
            1993
 (Age: 32-124d)

    in San Diego, California",10 years,"6-3,215lb (190cm, 97kg)"
https://www.basketball-reference.com/players/b/bookede01.html,Devin Booker,Shooting Guard and Point Guard,Right,Phoenix Suns,"October 30,
            1996
 (Age: 28-331d)

    in Grand Rapids, Michigan",10 years,"6-6,206lb (198cm, 93kg)"
https://www.basketball-reference.com/players/w/wembavi01.html,Victor Wembanyama,Center and Power Forward,Right,San Antonio Spurs,"January 4,
            2004
 (Age: 21-265d)

    in Le Chesnay, France",2 years,"7-3,235lb (221cm, 106kg)"
https://www.basketball-reference.com/players/d/derozde01.html,DeMar DeRozan,"Shooting Guard, Small Forward, and Power Forward",Right,Sacramento Kings,"August 7,
            1989
 (Age: 36-050d)

    in Compton, California",16 years,"6-6,220lb (198cm, 99kg)"
